State,Income
Alabama,73434.0
Alaska,92667.0
Arizona,84036.0
Arkansas,70743.0
California,113687.0
Colorado,100617.0
Connecticut,116557.0
Delaware,89598.0
District of Columbia,140207.0
Florida,82631.0
Georgia,87220.0
Hawaii,100088.0
Idaho,77409.0
Illinois,97627.0
Indiana,79866.0
Iowa,80283.0
Kansas,81773.0
Kentucky,74141.0
Louisiana,75581.0
Maine,78888.0
Maryland,114000.0
Massachusetts,121935.0
Michigan,82645.0
Minnesota,97960.0
Mississippi,67076.0
Missouri,79425.0
Montana,74840.0
Nebraska,81600.0
Nevada,86085.0
New Hampshire,101941.0
New Jersey,122348.0
New Mexico,70840.0
New York,112517.0
North Carolina,80933.0
North Dakota,83386.0
Ohio,80493.0
Oklahoma,76110.0
Oregon,88330.0
Pennsylvania,90297.0
Rhode Island,94791.0
South Carolina,77528.0
South Dakota,74697.0
Tennessee,79487.0
Texas,89653.0
Utah,94265.0
Vermont,80740.0
Virginia,104075.0
Washington,107023.0
West Virginia,68027.0
Wisconsin,83192.0
Wyoming,80473.0
